title,source,place,published_date,commencement_date,url
"Colonial Courts of Admiralty Act, 1890",Union of India - Act,"UNION OF INDIA,India",25 July 1890,25 July 1890,https://indiankanoon.org/doc/59187867/
"The Bankers Books Evidence Act, 1891",Union of India - Act,"UNION OF INDIA,India",1 January 1891,1 January 1891,https://indiankanoon.org/doc/1976331/
"Colonial Courts of Admiralty (India) Act, 1891",Union of India - Act,"UNION OF INDIA,India",14 May 1891,14 May 1891,https://indiankanoon.org/doc/1568486/
Easements (Extending Act V of 1882),Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India on 6 March 1891,Not commenced,https://indiankanoon.org/doc/893197/
"The Bankers Books Evidence Act, 1891",Union of India - Act,"UNION OF INDIA,India",1 January 1891,1 January 1891,https://indiankanoon.org/doc/1976331/
Easements (Extending Act V of 1882),Union of India - Act,"UNION OF INDIA,India",Published in Gazette of India on 6 March 1891,Not commenced,https://indiankanoon.org/doc/893197/
"The Marriages Validation Act, 1892",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 2 on 29 January 1892,29 January 1892,https://indiankanoon.org/doc/758067/
"The Government Management of Private Estates Act, 1892",Union of India - Act,"UNION OF INDIA,India",25 October 1892,25 October 1892,https://indiankanoon.org/doc/1691092/
"The Marriages Validation Act, 1892",Union of India - Act,"UNION OF INDIA,India",Published in Gazette 2 on 29 January 1892,29 January 1892,https://indiankanoon.org/doc/758067/
"The Government Management of Private Estates Act, 1892",Union of India - Act,"UNION OF INDIA,India",25 October 1892,25 October 1892,https://indiankanoon.org/doc/1691092/
"The Government Grants Act, 1895",Union of India - Act,"UNION OF INDIA,India",10 October 1895,10 October 1895,https://indiankanoon.org/doc/1625086/
"The Indian Railway Companies Act,   1895",Union of India - Act,"UNION OF INDIA,India",1 January 1895,1 January 1895,https://indiankanoon.org/doc/1902628/
"The Indian Railway Companies Act,   1895",Union of India - Act,"UNION OF INDIA,India",1 January 1895,1 January 1895,https://indiankanoon.org/doc/1902628/
"The Government Grants Act, 1895",Union of India - Act,"UNION OF INDIA,India",10 October 1895,10 October 1895,https://indiankanoon.org/doc/1625086/
"Live-Stock Importation Act, 1898",Union of India - Act,"UNION OF INDIA,India",12 August 1898,12 August 1898,https://indiankanoon.org/doc/150194697/
"The Government Buildings Act, 1899",Union of India - Act,"UNION OF INDIA,India",3 February 1899,3 February 1899,https://indiankanoon.org/doc/266796/
"Church of Scotland Kirk Sessions Act, 1899",Union of India - Act,"UNION OF INDIA,India",27 September 1899,27 September 1899,https://indiankanoon.org/doc/1591725/
